"","GAME_PLAYED","WIN_RATE","ON_FIRE","ELIS","OBJ_KILLS","OBJ_TIME","DAMAGE","DEATH","SOLO_KILLS","FINAL_BLOWS","BLOCKED","CHARGE","ULT","FIRE","ED","VOTING_CARDS","MEDALS","GOLD","SILVER","BRONZE","PLAYER_ID","WIN","LOSS"
"366",3,0.3333,"24.3%","45.67 ","18.00 ","05:35 ","26,064 ","11.67 ","0.33 ","36% ","32,860 ","2.00 ","9.33 ","19.67 ",3.91,"0.00 ",3.33,"1.00 ","1.67 ","1.00 ","Cheddar010-1413",1,2
"367",5,0.8,"9.3%","20.80 ","7.40 ","01:58 ","14,924 ","9.60 ","0.40 ","44% ","21,360 ","0.60 ","5.60 ","9.00 ",2.17,"0.60 ",2.4,"0.60 ","0.60 ","1.20 ","Cheddar010-1413",4,1
"368",4,0.25,"6.0%","14.25 ","4.25 ","02:01 ","10,512 ","6.25 ","0.25 ","49% ","15,080 ","1.25 ","3.50 ","5.00 ",2.28,"0.25 ",3.25,"1.75 ","0.75 ","0.75 ","Cheddar010-1413",1,3
"369",1,0,"20.5%","9.00 ","5.00 ","00:56 ","7,289 ","7.00 ","0.00 ","67% ","11,615 ","2.00 ","1.00 ","5.00 ",1.29,"0.00 ",1,"0.00 ","0.00 ","0.00 ","super",0,1
"370",7,0.4286,"14.2%","23.43 ","10.57 ","03:40 ","19,506 ","10.43 ","0.14 ","53% ","22,069 ","2.71 ","4.71 ","9.86 ",2.25,"0.57 ",3.43,"1.14 ","1.43 ","0.86 ","super",3,4
"371",3,0.6667,"13.3%","25.00 ","7.67 ","01:46 ","15,225 ","6.00 ","0.00 ","41% ","16,037 ","2.33 ","5.67 ","8.33 ",4.17,"0.67 ",3.67,"1.33 ","1.33 ","1.00 ","super",2,1
"372",2,1,"31.8%","31.00 ","14.50 ","03:15 ","20,436 ","6.50 ","0.00 ","42% ","15,513 ","3.00 ","8.00 ","14.00 ",4.77,"0.50 ",3.5,"0.50 ","0.50 ","2.50 ","super",2,0
"373",1,1,"28.0%","60.00 ","36.00 ","08:08 ","30,864 ","18.00 ","0.00 ","55% ","26,740 ","5.00 ","12.00 ","19.00 ",3.33,"1.00 ",5,"3.00 ","0.00 ","1.00 ","super",1,0
"374",7,0.7143,"20.6%","27.86 ","11.14 ","01:57 ","16,338 ","6.43 ","0.57 ","47% ","13,425 ","2.57 ","7.00 ","11.29 ",4.33,"0.57 ",3.71,"1.71 ","1.57 ","0.43 ","super",5,2
"375",9,0.625,"12.8%","24.44 ","9.78 ","02:25 ","14,297 ","11.11 ","0.67 ","48% ","23,332 ","3.11 ","5.78 ","6.78 ",2.2,"0.56 ",3.33,"0.78 ","1.56 ","1.00 ","Monky-11915",6,3
