"","GAME_PLAYED","WIN_RATE","ON_FIRE","ELIS","OBJ_KILLS","OBJ_TIME","DAMAGE","HEALING","DEATH","WEAPON_ACC","SCOPED_ACC","ENMY_SLEPT","OFF_ASSISTS","DEF_ASSISTS","BOOST_ASSISTS","ED","VOTING_CARDS","MEDALS","GOLD","SILVER","BRONZE","PLAYER_ID","WIN","LOSS"
"463",2,0.3333,"5.7%","13.67 ","4.33 ","01:13 ","6,248 ","14,883 ","6.67 ","25% ","59% ","8.00 ","9.33 ","17.33 ","1.33 ",2.05,"0.67 ",1.67,"1.33 ","0.00 ","0.33 ","Bezpalivo-2209",1,1
"464",1,1,"11.2%","27.00 ","7.00 ","00:20 ","6,580 ","16,320 ","9.00 ","25% ","59% ","13.00 ","19.00 ","14.00 ","6.00 ",3,"1.00 ",5,"2.00 ","2.00 ","1.00 ","Bezpalivo-2209",1,0
"465",6,0,"0.0%","3.50 ","1.50 ","00:16 ","3,050 ","11,842 ","7.50 ","31% ","66% ","4.00 ","4.00 ","8.50 ","1.50 ",0.47,"1.00 ",1.5,"1.00 ","0.00 ","0.50 ","FlaD-11322",0,6
"466",2,0.6667,"9.3%","13.00 ","5.67 ","00:06 ","5,998 ","12,298 ","6.00 ","31% ","66% ","4.00 ","9.33 ","15.67 ","1.67 ",2.17,"0.33 ",2,"0.67 ","0.67 ","0.67 ","FlaD-11322",1,1
"467",8,0.5,"26.1%","9.67 ","2.50 ","00:21 ","3,843 ","7,904 ","4.67 ","31% ","66% ","4.17 ","9.83 ","13.17 ","3.17 ",2.07,"0.83 ",1.5,"1.17 ","0.17 ","0.17 ","FlaD-11322",4,4
"468",2,0.6667,"40.0%","10.33 ","7.67 ","00:38 ","4,118 ","8,531 ","4.33 ","31% ","66% ","6.67 ","13.00 ","12.00 ","3.33 ",2.38,"1.00 ",2,"0.67 ","0.67 ","0.67 ","FlaD-11322",1,1
"469",8,0.5,"20.0%","19.33 ","8.83 ","01:11 ","6,815 ","14,164 ","10.17 ","31% ","66% ","10.00 ","19.83 ","23.00 ","8.50 ",1.9,"0.33 ",2,"1.17 ","0.33 ","0.50 ","FlaD-11322",4,4
"470",6,0.5,"19.7%","9.50 ","3.00 ","00:25 ","4,489 ","8,639 ","4.50 ","31% ","66% ","5.50 ","8.00 ","9.00 ","2.50 ",2.11,"0.00 ",2,"1.00 ","1.00 ","0.00 ","FlaD-11322",3,3
"471",1,0,"16.2%","7.00 ","7.00 ","01:00 ","3,323 ","8,480 ","5.00 ","28% ","65% ","6.00 ","9.00 ","7.00 ","4.00 ",1.4,"0.00 ",3,"1.00 ","1.00 ","1.00 ","Zuppeh-2840",0,1
"472",2,0.6667,"19.3%","12.33 ","5.67 ","00:40 ","3,944 ","7,924 ","5.00 ","28% ","65% ","6.33 ","9.00 ","9.33 ","3.67 ",2.47,"0.33 ",2,"1.00 ","0.67 ","0.00 ","Zuppeh-2840",1,1
"473",3,0.75,"12.4%","21.00 ","7.40 ","00:39 ","7,337 ","13,431 ","6.80 ","28% ","65% ","8.80 ","18.60 ","17.80 ","4.60 ",3.09,"0.60 ",2.2,"1.20 ","0.60 ","0.40 ","Zuppeh-2840",2,1
"474",1,1,"18.3%","21.00 ","9.00 ","00:26 ","6,833 ","10,770 ","3.00 ","28% ","64% ","7.00 ","15.00 ","18.00 ","9.00 ",7,"1.00 ",3,"1.00 ","2.00 ","0.00 ","Zuppeh-2840",1,0
"475",6,0.5,"18.5%","16.00 ","4.00 ","01:24 ","4,998 ","12,926 ","8.50 ","27% ","64% ","12.00 ","14.50 ","19.00 ","5.50 ",1.88,"0.00 ",1,"1.00 ","0.00 ","0.50 ","Zuppeh-2840",3,3
"476",1,0,"4.9%","8.00 ","2.00 ","00:16 ","3,499 ","5,980 ","5.00 ","27% ","64% ","2.00 ","11.00 ","6.00 ","6.00 ",1.6,"1.00 ",1,"1.00 ","0.00 ","0.00 ","Zuppeh-2840",0,1
"477",3,0.4,"7.7%","10.20 ","3.80 ","00:39 ","3,438 ","12,233 ","5.40 ","19% ","62% ","5.40 ","10.00 ","14.80 ","3.80 ",1.89,"1.00 ",1.6,"1.20 ","0.20 ","0.40 ","DrouYu-2548",1,2
"478",3,0.8,"16.1%","12.20 ","6.00 ","01:51 ","3,738 ","15,316 ","8.40 ","19% ","62% ","7.20 ","16.80 ","21.20 ","8.20 ",1.45,"0.80 ",1.8,"1.00 ","0.40 ","0.20 ","DrouYu-2548",2,1
"479",1,1,"8.2%","5.00 ","1.00 ","02:12 ","2,703 ","13,245 ","9.00 ","19% ","62% ","8.00 ","6.00 ","17.00 ","4.00 ",0.56,"0.00 ",3,"1.00 ","1.00 ","1.00 ","DrouYu-2548",1,0
"480",6,1,"0.0%","9.50 ","4.00 ","00:23 ","2,812 ","12,170 ","7.00 ","19% ","62% ","7.00 ","11.00 ","15.50 ","5.00 ",1.36,"1.00 ",1,"1.00 ","0.00 ","0.50 ","DrouYu-2548",6,0
"481",7,0.5,"4.3%","6.75 ","2.75 ","00:55 ","2,760 ","9,904 ","7.75 ","19% ","62% ","3.50 ","10.00 ","15.75 ","3.75 ",0.87,"0.75 ",1.75,"0.75 ","0.25 ","0.50 ","DrouYu-2548",4,3
"482",2,0.6667,"31.6%","20.33 ","10.33 ","01:20 ","4,866 ","14,050 ","5.00 ","19% ","62% ","6.33 ","19.00 ","26.00 ","6.33 ",4.07,"0.67 ",2,"1.00 ","0.67 ","0.33 ","DrouYu-2548",1,1
"483",1,0,"0.0%","7.00 ","2.00 ","00:07 ","3,049 ","2,190 ","2.00 ","22% ","59% ","4.00 ","2.00 ","1.00 ","1.00 ",3.5,"0.00 ",1,"0.00 ","1.00 ","0.00 ","Raben-11607",0,1
"484",2,0.6667,"7.6%","17.67 ","7.33 ","00:56 ","4,106 ","9,567 ","4.33 ","22% ","59% ","6.00 ","15.00 ","14.67 ","3.33 ",4.08,"0.67 ",1.67,"1.00 ","0.00 ","0.33 ","Raben-11607",1,1
"485",6,0.5,"9.4%","16.00 ","3.00 ","01:48 ","6,958 ","14,388 ","11.00 ","22% ","59% ","7.00 ","12.00 ","16.00 ","3.00 ",1.45,"0.00 ",2.5,"2.00 ","0.50 ","0.50 ","Raben-11607",3,3
"486",2,0.3333,"9.6%","12.00 ","3.33 ","00:21 ","3,927 ","11,516 ","5.00 ","22% ","59% ","4.67 ","12.67 ","13.33 ","4.33 ",2.4,"0.33 ",1,"0.67 ","0.00 ","0.33 ","Raben-11607",1,1
"487",13,0.5,"17.1%","14.25 ","6.25 ","00:57 ","5,232 ","13,662 ","7.62 ","22% ","59% ","7.00 ","13.62 ","18.25 ","5.62 ",1.87,"0.75 ",1.38,"1.12 ","0.12 ","0.12 ","Raben-11607",6,7
"488",1,1,"2.9%","16.00 ","7.00 ","01:36 ","5,861 ","21,107 ","16.00 ","22% ","59% ","10.00 ","16.00 ","16.00 ","6.00 ",1,"1.00 ",3,"1.00 ","1.00 ","0.00 ","Raben-11607",1,0
"489",8,0.6,"11.1%","16.50 ","5.33 ","00:58 ","5,838 ","14,200 ","7.83 ","26% ","65% ","5.17 ","15.33 ","17.83 ","6.00 ",2.11,"0.67 ",1.5,"1.00 ","0.33 ","0.33 ","Daiya-21239",5,3
"490",8,0.5,"21.6%","13.33 ","5.00 ","00:38 ","4,617 ","10,667 ","5.67 ","26% ","65% ","6.17 ","12.50 ","13.00 ","4.17 ",2.35,"0.33 ",1.5,"0.50 ","0.50 ","0.33 ","Daiya-21239",4,4
"491",6,0.5,"16.0%","14.00 ","7.50 ","01:33 ","6,498 ","16,982 ","9.50 ","26% ","65% ","7.50 ","17.00 ","19.00 ","6.50 ",1.47,"0.50 ",2,"1.50 ","1.00 ","0.00 ","Daiya-21239",3,3
"492",8,0.6667,"17.1%","15.33 ","6.50 ","00:56 ","5,574 ","11,500 ","7.33 ","26% ","65% ","6.33 ","15.00 ","15.17 ","4.50 ",2.09,"0.33 ",0.83,"0.67 ","0.33 ","0.00 ","Daiya-21239",5,3
"493",13,0.625,"17.7%","20.12 ","8.50 ","00:39 ","6,383 ","12,041 ","6.12 ","27% ","65% ","6.38 ","15.12 ","20.88 ","3.75 ",3.29,"0.50 ",1.62,"0.88 ","0.25 ","0.38 ","Daiya-21239",8,5
"494",12,0.6,"17.3%","15.60 ","6.10 ","01:14 ","5,497 ","11,785 ","7.10 ","27% ","65% ","6.60 ","14.50 ","16.30 ","5.30 ",2.2,"0.40 ",1.7,"0.80 ","0.30 ","0.60 ","Daiya-21239",7,5
"495",6,0.5,"26.0%","12.50 ","3.50 ","00:07 ","5,360 ","9,280 ","5.00 ","28% ","65% ","6.50 ","12.50 ","10.00 ","5.50 ",2.5,"0.00 ",2,"1.00 ","0.50 ","0.50 ","Daiya-21239",3,3
"496",1,0,"15.8%","15.00 ","5.00 ","00:28 ","5,064 ","10,884 ","8.00 ","27% ","65% ","9.00 ","13.00 ","14.00 ","3.00 ",1.88,"1.00 ",2,"0.00 ","1.00 ","1.00 ","Crimzo-11621",0,1
